speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,12,1,ɡ,ɡ,1.08199,1.1996,117.61,ru,f,455.1150197152795,2147.0965707973487,,215.67044036048523,,,,,,False,-0.6355424434982382,0.615465040345173
AB,12,1,a,a,1.1996,1.29,90.4,ru,f,749.6507005643815,1707.9318024202091,2948.5198040210385,212.62714688151664,,,,,,False,0.9871388554230027,-0.17261090563855533
AB,12,1,ʁ,ʁ,1.29,1.37916,89.16,ru,f,805.4148465436542,1463.0619294886649,,198.9613166268352,,,,,,False,1.2943594833958796,-0.6120269759817047
AB,12,1,a,a,1.37916,1.55,170.84,ru,f,863.9223862359686,1750.1995299758466,2908.5538190028647,233.54125794408895,,951.026389800329,1590.485263708158,545.2985469060875,1802.36563273685,False,1.6166942519064913,-0.09676197198870046
AB,12,1,ʒ,ʒ,1.55,1.77043,220.43,ru,f,646.6387031901063,2588.220465370136,,340.37671907871794,2465.8999463969435,,,,,False,0.4196163018842402,1.4070566149519395
AB,12,1,t,t,2.04,2.08,40.0,ru,f,1076.3846641423168,2266.858921298094,,,,,,,,False,2.787209702160096,0.8303771518355418
AB,12,1,ʁ,ʁ,2.08,2.16,80.0,ru,f,607.7828169468747,1091.915090222262,,,,,,,,False,0.2055481123252121,-1.2780455583342836
AB,12,1,w,w,2.16,2.22,60.0,ru,f,518.8826510288905,987.4996849373662,,217.16214517347956,,,,,,False,-0.28422832593258546,-1.4654177594314883
AB,12,1,a,a,2.22,2.36,140.0,ru,f,782.7477865116789,1404.884222168219,2778.89799381506,212.77168222666603,,703.0543719029762,1287.961393125489,757.9024939615874,1301.166177703505,False,1.1694801672146407,-0.7164261788165548
AB,12,1,f,f,2.36,2.52,160.0,ru,f,1326.550051704064,1954.0325331906688,,,3402.9974596204597,,,,,False,4.165442366072229,0.2690139244358432
AB,12,1,w,w,2.52,2.58,60.0,ru,f,497.0066775744523,887.9080690122198,,96.86206840870032,,,,,,False,-0.4047493199183725,-1.6441337279785302
AB,12,1,a,a,2.58,2.76,180.0,ru,f,853.3739473253148,1396.5565924713394,3030.8057217190644,205.77510786287743,,754.4860979733037,1289.8287269857376,1228.3275721672169,2030.8921700590283,False,1.558579885240334,-0.7313700111176346
AB,13,1,d,d,0.67,0.82,150.0,ru,f,232.2570050521344,817.6784474782611,,200.2273009044121,,,,,,False,-1.8633309805817033,-1.7701599473197964
AB,13,1,i,i,0.82,1.05,230.0,ru,f,461.6956468857828,2693.333661320385,3722.521231367114,218.94944096702756,,397.0889100832028,2669.078886202272,385.1254479596763,2716.2201258490945,False,-0.5992878864477481,1.5956809930867717
AB,13,1,t͡s,t͡s,1.13137,1.29033,158.96,ru,f,1010.2448825397204,1623.3919832064616,,,,,,,,False,2.4228267302503093,-0.3243166042681712
AB,13,1,a,a,1.29033,1.39007,99.74,ru,f,734.196442611515,1821.975866968686,2944.715930762315,201.59234160270296,,685.5967215644436,1948.4902654336936,744.5906872603393,1782.1389837522893,False,0.9019969286570257,0.032039809820678396
AB,13,1,ʁ,ʁ,1.39007,1.46,69.93,ru,f,314.99592940008574,1588.2048893640156,,201.37899344060324,,,,,,False,-1.407498584162934,-0.38745942505676934
AB,13,1,i,i,1.46,1.55,90.0,ru,f,479.6256829833257,2711.7225977585986,3471.162835179884,215.81826538447527,,,,,,False,-0.500506189844505,1.6286797204954662
AB,13,1,n,n,1.55,1.73,180.0,ru,f,336.10988007135734,776.6326592690702,,273.9469864472555,,,,,,False,-1.2911757916175686,-1.8438161253669096
AB,13,1,t,t,2.06,2.11,50.0,ru,f,1425.737896394714,2458.3086482476297,,,,,,,,False,4.711896568822222,1.1739314064985975
